iter	TotalF1	MultiClass
125	0.8610117058	0.4009032042
126	0.861762246	0.3997607564
127	0.8633417811	0.3985383091
128	0.8640085937	0.3976261802
129	0.864213126	0.3966703471
130	0.8643309221	0.3957508774
131	0.8643267634	0.3946606152
132	0.8650735338	0.3935408617
133	0.8650409176	0.3925765461
134	0.8661375877	0.3916311032
135	0.8667448498	0.3905697594
136	0.8667723604	0.3894605352
137	0.8668618855	0.3884698434
138	0.8674428617	0.387496856
139	0.8668021657	0.3863926591
140	0.8676471543	0.3852970063
141	0.8682602896	0.3843391237
142	0.867957765	0.3835825126
143	0.8675227802	0.3828996139
144	0.8677250149	0.3819617835
145	0.8674760711	0.3811716746
146	0.8681137625	0.3804349592
147	0.8681859279	0.379486663
148	0.86797695	0.3790022473
149	0.8683003139	0.378357101
150	0.8686456021	0.3773857508
151	0.8691897804	0.3765794578
152	0.8696017112	0.3758324864
153	0.8696797634	0.3751171408
154	0.8696757244	0.3746367527
155	0.8696085866	0.3739473514
156	0.870024631	0.3733389941
157	0.8696874049	0.3727301028
158	0.8700786745	0.3719970689
159	0.8700705135	0.3713768341
160	0.8699772291	0.3706879579
161	0.8712548208	0.3698419912
162	0.8709607701	0.369123012
163	0.8717167287	0.3682211063
164	0.871917592	0.3673366253
165	0.872244876	0.3667813216
166	0.8720408332	0.3663600578
167	0.8720423821	0.3656777173
168	0.8724632512	0.3651234903
169	0.8716156895	0.3643470905
170	0.8716972082	0.3639010657
171	0.8718882671	0.3631384354
172	0.8718941243	0.3626472488
173	0.8726587882	0.3618295009
174	0.8733259583	0.3611570151
175	0.8733205343	0.3606101492
176	0.8734367526	0.3601559474
177	0.8739385966	0.3593690765
178	0.8743600555	0.3587028771
179	0.8744657839	0.3584717595
180	0.8747744496	0.3580007157
181	0.8746688183	0.3575583074
182	0.8744612207	0.3571991778
183	0.8745495349	0.3565433712
184	0.8749929153	0.3558753408
185	0.8749843867	0.3552217534
186	0.8749776249	0.354657276
187	0.8749945257	0.3543158589
188	0.8751953017	0.3539330881
189	0.8752145122	0.353295098
190	0.8754888624	0.3525426401
191	0.8755059603	0.3517997956
192	0.8761572816	0.3510763343
193	0.8767105857	0.3505417867
194	0.8763867804	0.3500187696
195	0.8763845437	0.3494867303
196	0.8765108104	0.3487228638
197	0.8767299802	0.3482495942
198	0.8770380749	0.3478374516
199	0.8771495885	0.3474789866
200	0.8766984667	0.3468000805
201	0.877383584	0.3462384775
202	0.8781076759	0.3456840437
203	0.8781076759	0.3454136625
204	0.8781159716	0.3450621973
205	0.878225227	0.3447630801
206	0.8788585339	0.3441038156
207	0.8790791932	0.3437720069
208	0.8787408305	0.3434100054
209	0.8793030286	0.3429609104
210	0.8794090369	0.3424876169
211	0.8793024137	0.3421726504
212	0.8793176993	0.3412984768
213	0.8795413704	0.3410865283
214	0.8802642875	0.3406290127
215	0.8801619862	0.3402620695
216	0.8802672447	0.3400647193
217	0.8808975281	0.3391821272
218	0.8809043081	0.3386376987
219	0.8809184501	0.3380493429
220	0.8811534734	0.3374379871
221	0.8814679954	0.3371508927
222	0.8816557022	0.3365912676
223	0.881551221	0.3363101721
224	0.8815510316	0.3357249548
225	0.8816801264	0.3351842873
226	0.8821937206	0.3349538113
227	0.8820990442	0.3346061698
228	0.8817617184	0.3339546217
229	0.8818800806	0.3332994593
230	0.8818890509	0.3329345028
231	0.8821908813	0.3321714511
232	0.8815638025	0.3316643954
233	0.8820064799	0.3312841869
234	0.8822063191	0.3308271074
235	0.882064409	0.330268314
236	0.8831180293	0.3297364926
237	0.8835702837	0.3289539757
